Model,Accuracy,AUC,Equalized Odds Difference,FPR (African-American),FPR (Caucasian),FNR (African-American),FNR (Caucasian)
Original Logistic Regression,0.7248743718592965,0.7618364394548548,0.23968900407256571,0.1752808988764045,0.07160493827160494,0.46301369863013697,0.7027027027027027
Reweighing + Logistic Regression,0.7192211055276382,0.7463242481474619,0.03970751573491299,0.10112359550561797,0.11851851851851852,0.5616438356164384,0.6013513513513513
ThresholdOptimizer (Eq. Odds),0.6853015075376885,0.7618364394548548,0.020862810375918972,0.21123595505617979,0.23209876543209876,0.4876712328767123,0.4864864864864865
